when,newcases
1/1/2020,0
1/2/2020,0
1/3/2020,17
1/4/2020,0
1/5/2020,15
1/6/2020,0
1/7/2020,0
1/8/2020,0
1/9/2020,0
1/10/2020,0
1/11/2020,0
1/12/2020,0
1/13/2020,1
1/14/2020,0
1/15/2020,1
1/16/2020,0
1/17/2020,5
1/18/2020,17
1/19/2020,136
1/20/2020,20
1/21/2020,153
1/22/2020,142
1/23/2020,97
1/24/2020,266
1/25/2020,453
1/26/2020,673
1/27/2020,797
1/28/2020,1767
1/29/2020,1480
1/30/2020,1756
1/31/2020,2003
2/1/2020,2120
2/2/2020,2608
2/3/2020,2818
2/4/2020,3243
2/5/2020,3897
2/6/2020,3741
2/7/2020,3177
2/8/2020,3439
2/9/2020,2619
2/10/2020,2982
2/11/2020,2500
2/12/2020,2033
2/13/2020,15151
2/14/2020,4168
2/15/2020,2560
2/16/2020,2028
2/17/2020,2067
2/18/2020,1896
2/19/2020,1776
2/20/2020,453
2/21/2020,983
2/22/2020,1085
2/23/2020,1008
2/24/2020,470
2/25/2020,793
2/26/2020,865
2/27/2020,1095
2/28/2020,1269
2/29/2020,1848
3/1/2020,1819
3/2/2020,2079
3/3/2020,1821
3/4/2020,2250
3/5/2020,2271
3/6/2020,2978
3/7/2020,4081
3/8/2020,3964
3/9/2020,4145
3/10/2020,4707
3/11/2020,4919
3/12/2020,7535
3/13/2020,9021
3/14/2020,9869
3/15/2020,12133
3/16/2020,12357
3/17/2020,13740
3/18/2020,16458
3/19/2020,19809
3/20/2020,30370
3/21/2020,31353
3/22/2020,34047
3/23/2020,34000
3/24/2020,42895
3/25/2020,40885
3/26/2020,52223
3/27/2020,60345
3/28/2020,64334
3/29/2020,63261
3/30/2020,57810
3/31/2020,63561
4/1/2020,72596
4/2/2020,76747
4/3/2020,76735
4/4/2020,80947
4/5/2020,84992
4/6/2020,68933
4/7/2020,72332
4/8/2020,74975
4/9/2020,84478
4/10/2020,85795
4/11/2020,89319
4/12/2020,80770
4/13/2020,71254
4/14/2020,66014
4/15/2020,76602
4/16/2020,79742
4/17/2020,82962
4/18/2020,81894
4/19/2020,79734
4/20/2020,72140
4/21/2020,75958
4/22/2020,85730
4/23/2020,66283
4/24/2020,77434
4/25/2020,73765
4/26/2020,100548
4/27/2020,83055
4/28/2020,65780
4/29/2020,71565
4/30/2020,77804
5/1/2020,84585
5/2/2020,91742
5/3/2020,81169
5/4/2020,78509
5/5/2020,77166
5/6/2020,79184
5/7/2020,89823
5/8/2020,94185
5/9/2020,90142
5/10/2020,90155
5/11/2020,76989
5/12/2020,71030
5/13/2020,85786
5/14/2020,85950
5/15/2020,96665
5/16/2020,98033
5/17/2020,94196
5/18/2020,81217
5/19/2020,87136
5/20/2020,95075
5/21/2020,99363
5/22/2020,107924
5/23/2020,106574
5/24/2020,101106
5/25/2020,94216
5/26/2020,89096
5/27/2020,95870
5/28/2020,102583
5/29/2020,118805
5/30/2020,123018
5/31/2020,127796
6/1/2020,107968
6/2/2020,100481
6/3/2020,112519
6/4/2020,126684
6/5/2020,127662
6/6/2020,133510
6/7/2020,125862
6/8/2020,116318
6/9/2020,105851
6/10/2020,125594
6/11/2020,133462
6/12/2020,137577
6/13/2020,144465
6/14/2020,134029
6/15/2020,122105
6/16/2020,118801
6/17/2020,141305
6/18/2020,176426
6/19/2020,138667
6/20/2020,177272
6/21/2020,161585