when,priceavg
2020-03-17,92355
2020-03-18,83386
2020-03-19,82508
2020-03-20,82198
2020-03-21,81695
2020-03-22,80808
2020-03-23,74825
2020-03-24,80400
2020-03-25,104483
2020-03-26,122001
2020-03-27,95710
2020-03-28,86355
2020-03-29,83179
2020-03-30,74755
2020-03-31,74499
2020-04-01,87635
2020-04-02,94835
2020-04-03,82984
2020-04-04,79828
2020-04-05,80000
2020-04-06,85208
2020-04-07,74337
2020-04-08,98503
2020-04-09,116518
2020-04-10,92851
2020-04-11,81253
2020-04-12,77712
2020-04-13,72820
2020-04-14,70000
2020-04-15,94398
2020-04-16,116085
2020-04-17,109986
2020-04-18,93245
2020-04-19,75609
2020-04-20,73634
2020-04-21,71698
2020-04-22,68438
2020-04-23,67474
2020-04-24,117050
2020-04-25,88063
2020-04-26,72284
2020-04-27,65953
2020-04-28,62707
2020-04-29,61381
2020-04-30,59230
2020-05-01,58970
2020-05-02,58488
2020-05-03,58476
2020-05-04,50901
2020-05-05,46957
2020-05-06,44767
2020-05-07,62478
2020-05-08,75490
2020-05-09,51245
2020-05-10,48299
2020-05-11,41504
2020-05-12,52907
2020-05-13,63072
2020-05-14,53546
2020-05-15,43794
2020-05-16,51554
2020-05-17,87168
2020-05-18,52637
2020-05-19,41814
2020-05-20,62539
2020-05-21,83341
2020-05-22,49994
2020-05-23,49887
2020-05-24,44651
2020-05-25,43063
2020-05-26,41620
2020-05-27,39735
2020-05-28,38773
2020-05-29,47588
2020-05-30,49035
2020-05-31,44244
2020-06-01,42251
2020-06-02,41391
2020-06-03,40620
2020-06-04,38373
2020-06-05,35921
2020-06-06,32643
2020-06-07,46029
2020-06-08,63740
2020-06-09,61278
2020-06-10,44976
2020-06-11,39778
2020-06-12,35933
2020-06-13,35271
2020-06-14,60947
2020-06-15,40580
2020-06-16,41020
2020-06-17,42490